accession	strain
KC879412	22888_CVA10_RUS_2004
KC879418	27190_CVA10_RUS_2006
KC879430	31228_CVA10_RUS_2008
KC879439	34266_CVA10_RUS_2009
KC879442	36053_CVA10_RUS_2010
KC879452	38905_CVA10_RUS_2009
KC879458	40181_CVA10_RUS_2004
KC879459	40184_CVA10_RUS_2010
KC879462	40191_CVA10_RUS_2010
KC879487	21462_CVA10_GEO_2003
KC879488	22205_CVA10_TJK_2004
KC879491	22888_CVA10_RUS_2004
KC879497	27190_CVA10_RUS_2006
KC879507	31228_CVA10_RUS_2008
KC879515	34266_CVA10_RUS_2009
KC879518	36053_CVA10_RUS_2010
KC879528	38905_CVA10_RUS_2009
KC879534	40181_CVA10_RUS_2004
KC879535	40184_CVA10_RUS_2010
KC879537	40191_CVA10_RUS_2010
KF499109	BJXC09-178
KF499110	BJXC09-236
KF586334	FJLY/2011173
KF586335	FJLY/2011155
KF806703	SZ164/13
KF806704	SZ171/13
KF806705	SZ211/13
KF806706	SZ213/13
KF806707	SZ237/13
KF806708	SZ295/13
KF806709	SZ312/13
KF806710	SZ332/13
KF806711	SZ334/13
KF806712	SZ227/13
KF806713	SZ228/13
KF806714	SZ246/13
KF806715	SZ249/13
KF806716	SZM28/13
KF806717	SZN17/13
KF806718	SZN149/13
KF806719	SZN164/13
KF806720	SZN199/13
KF806721	SZN218/13
KF806722	SZ001/13
KF806723	SZ003/13
KF806724	SZ017/13
KF806725	SZ081/13
KF806726	SZ096/13
KF806727	SZ126/13
KF806728	SZM5/13
KF806729	SZM7/13
KJ156354	CS566/HN/CHN/12
KJ156355	CS637/HN/CHN/12
KJ156356	CS712/HN/CHN/12
KJ156357	CS112/HN/CHN/12
KJ156358	CS165/HN/CHN/12
KJ156359	CS439/HN/CHN/12
KJ641623	CVA10/JB141310010
KM048103	214
KM048104	257
KM048105	279
KM048106	284
KM048107	407
KM048108	745
KM048109	816
KM048110	860
KM048111	904
KM048112	934
KM048113	950
KM048114	951
KM048115	996
KM048116	1096
KM048117	1117
KM048118	1163
KM048119	1207
KM048120	1238
KM048121	1267
KM613171	CETC14.3/Zhuhai/GD/CHN/2013
KM816529	CVA10-10010-2011
KM816530	CVA10-10011-2011
KM816531	CVA10-10014-2011
